pl_name,soltype,disc_refname,hd_name,pl_masse,pl_orbper,discoverymethod,cb_flag,sy_dist,pl_insol
OGLE-TR-10 b,Published Confirmed,<a refstr=KONACKI_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...624..372K/abstract target=ref> Konacki et al. 2005 </a>,,222.47977142857142857142857143,3.1013125714285714285714285714,Transit,false,1344.9700000,
HD 210702 b,Published Confirmed,<a refstr=JOHNSON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...665..785J/abstract target=ref> Johnson et al. 2007 </a>,HD 210702,,354.39666666666666666666666667,Radial Velocity,false,54.1963000,
BD-08 2823 b,Published Confirmed,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,,,5.60000000,Radial Velocity,false,41.3342000,
BD-08 2823 c,Published Confirmed,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,,,237.60000000,Radial Velocity,false,41.3342000,
HR 8799 c,Published Confirmed,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,HD 218396,3000.00000,73275.446666666666666666666667,Imaging,false,41.2441000,
HD 110014 b,Published Confirmed,<a refstr=DE_MEDEIROS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A%26A...504..617D/abstract target=ref> de Medeiros et al. 2009 </a>,HD 110014,,885.93850000,Radial Velocity,false,100.7580000,
HIP 5158 b,Published Confirmed,<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>,,,345.69000000,Radial Velocity,false,51.6026000,
HD 44219 b,Published Confirmed,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,HD 44219,,472.30000000,Radial Velocity,false,52.9051000,
HD 6718 b,Published Confirmed,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,HD 6718,,2496.00000000,Radial Velocity,false,51.3444000,
HD 156846 b,Published Confirmed,<a refstr=TAMUZ_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...480L..33T/abstract target=ref> Tamuz et al. 2008 </a>,HD 156846,,359.52487000,Radial Velocity,false,47.7332000,
